ID,Class
AAAA0x1,0
AAAA0x2,0
AAAA0x5,0
AAAA0x7,0
AAAA0xc,0
AAAA0xd,0
AAA0x11,0
AAA0x15,0
AAA0x17,0
AAA0x19,0
AAA0x1b,0
AAA0x1d,0
AAA0x1f,0
AAA0x20,0
AAA0x22,0
AAA0x23,0
AAA0x24,0
AAA0x27,0
AAA0x28,0
AAA0x2a,0
AAA0x2b,0
AAA0x2d,0
AAA0x32,0
AAA0x35,0
AAA0x36,0
AAA0x37,0
AAA0x3d,0
AAA0x3e,0
AAA0x47,0
AAA0x4d,0
AAA0x4e,0
AAA0x50,0
AAA0x51,0
AAA0x55,0
AAA0x58,0
AAA0x59,0
AAA0x5a,0
AAA0x5c,0
AAA0x61,0
AAA0x62,0
AAA0x65,0
AAA0x66,0
AAA0x67,0
AAA0x68,0
AAA0x6a,0
AAA0x6b,0
AAA0x6c,0
AAA0x6e,0
AAA0x6f,0
AAA0x70,0
AAA0x71,0
AAA0x72,0
AAA0x73,0
AAA0x74,0
AAA0x76,0
AAA0x77,0
AAA0x78,0
AAA0x79,0
AAA0x7a,0
AAA0x7c,0
AAA0x7d,0
AAA0x80,0
AAA0x81,0
AAA0x82,0
AAA0x83,0
AAA0x84,0
AAA0x87,0
AAA0x88,0
AAA0x8c,0
AAA0x8d,0
AAA0x8f,0
AAA0x90,0
AAA0x91,0
AAA0x92,0
AAA0x94,0
AAA0x96,0
AAA0x98,0
AAA0x9c,0
AAA0x9d,0
AAA0x9f,0
AAA0xa2,0
AAA0xa5,0
AAA0xa6,0
AAA0xa8,0
AAA0xab,0
AAA0xad,0
AAA0xaf,0
AAA0xb0,0
AAA0xb5,0
AAA0xb8,0
AAA0xba,0
AAA0xbb,0
AAA0xc4,0
AAA0xc5,0
AAA0xc6,0
AAA0xc7,0
AAA0xca,0
AAA0xcd,0
AAA0xcf,0
AAA0xd1,0
AAA0xd4,0
AAA0xd6,0
AAA0xdc,0
AAA0xde,0
AAA0xdf,0
AAA0xe2,0
AAA0xe3,0
AAA0xec,0
AAA0xee,0
AAA0xef,0
AAA0xf0,0
AAA0xf3,0
AAA0xf4,0
AAA0xf9,0
AAA0xff,0
AA0x101,0
AA0x105,0
AA0x106,0
AA0x107,0
AA0x108,0
AA0x109,0
AA0x10a,0
AA0x10c,0
AA0x10f,0
AA0x110,0
AA0x111,0
AA0x112,0
AA0x113,0
AA0x115,0
AA0x116,0
AA0x11b,0
AA0x11c,0
AA0x11e,0
AA0x11f,0
AA0x120,0
AA0x121,0
AA0x122,0
AA0x124,0
AA0x128,0
AA0x12a,0
AA0x12b,0
AA0x12d,0
AA0x12e,0
AA0x12f,0
AA0x130,0
AA0x131,0
AA0x132,0
AA0x133,0
AA0x134,0
AA0x135,0
AA0x136,0
AA0x13a,0
AA0x13b,0
AA0x13e,0
AA0x140,0
AA0x142,0
AA0x143,0
AA0x144,0
AA0x145,0
AA0x147,0
AA0x148,0
AA0x149,0
AA0x14a,0
AA0x14c,0
AA0x14d,0
AA0x14e,0
AA0x14f,0
AA0x152,0
AA0x153,0
AA0x15e,0
AA0x15f,0
AA0x160,0
AA0x162,0
AA0x163,0
AA0x164,0
AA0x165,0
AA0x167,0
AA0x16a,0
AA0x16b,0
AA0x16f,0
AA0x170,0
AA0x172,0
AA0x174,0
AA0x179,0
AA0x17b,0
AA0x17d,0
AA0x17f,0
AA0x181,0
AA0x182,0
AA0x183,0
AA0x185,0
AA0x188,0
AA0x18b,0
AA0x18d,0
AA0x18e,0
AA0x190,0
AA0x191,0
AA0x192,0
AA0x193,0
AA0x196,0
AA0x197,0
AA0x199,0
AA0x19e,0
AA0x1a1,0
AA0x1a2,0
AA0x1a4,0
AA0x1a7,0
AA0x1a8,0
AA0x1ac,0
AA0x1ad,0
AA0x1af,0
AA0x1b0,0
AA0x1b2,0
AA0x1b5,0
AA0x1b7,0
AA0x1ba,0
AA0x1bb,0
AA0x1bd,0
AA0x1be,0
AA0x1bf,0
AA0x1c0,0
AA0x1c3,0
AA0x1c5,0
AA0x1c6,0
AA0x1ca,0
AA0x1cb,0
AA0x1cc,0
AA0x1cd,1
AA0x1d0,0
AA0x1d1,0
AA0x1d2,0
AA0x1d3,0
AA0x1d8,0
AA0x1d9,1
AA0x1da,0
AA0x1db,0
AA0x1dd,0
AA0x1de,0
AA0x1df,0
AA0x1e2,0
AA0x1e4,0
AA0x1e6,0
AA0x1e9,0
AA0x1ea,0
AA0x1eb,0
AA0x1ec,0
AA0x1ee,0
AA0x1ef,0
AA0x1f3,0
AA0x1f4,0
AA0x1f5,0
AA0x1f6,0
AA0x1f7,0
AA0x1f9,0
AA0x1fa,0
AA0x1fb,0
AA0x1fd,0
AA0x1fe,0
AA0x1ff,0
AA0x200,0
AA0x201,0
AA0x202,0
AA0x205,0
AA0x206,0
AA0x207,0
AA0x208,0
AA0x209,0
AA0x20a,0
AA0x20b,0
AA0x20c,0
AA0x20d,0
AA0x210,0
AA0x211,0
AA0x21c,0
AA0x21e,1
AA0x21f,0
AA0x222,0
AA0x224,0
AA0x226,0
AA0x227,0
AA0x228,0
AA0x22c,0
AA0x232,0
AA0x233,0
AA0x234,0
AA0x235,0
AA0x236,0
AA0x237,0
AA0x239,0
AA0x23b,0
AA0x23e,0
AA0x23f,0
AA0x241,0
AA0x243,0
AA0x244,0
AA0x247,0
AA0x248,0
AA0x249,0
AA0x24b,0
AA0x24e,0
AA0x24f,0
AA0x250,0
AA0x253,0
AA0x255,0
AA0x256,0
AA0x257,0
AA0x25c,0
AA0x263,0
AA0x265,0
AA0x266,0
AA0x26a,0
AA0x26c,0
AA0x26d,0
AA0x26e,0
AA0x26f,0
AA0x274,0
AA0x276,0
AA0x278,0
AA0x279,0
AA0x27a,0
AA0x27b,0
AA0x27d,0
AA0x285,0
AA0x287,0
AA0x28a,0
AA0x28e,0
AA0x28f,0
AA0x290,0
AA0x292,0
AA0x293,0
AA0x294,0
AA0x295,0
AA0x296,0
AA0x297,0
AA0x299,0
AA0x29a,0
AA0x29c,0
AA0x29d,0
AA0x29f,0
AA0x2a0,0
AA0x2a2,0
AA0x2a3,0
AA0x2a4,0
AA0x2a5,0
AA0x2a6,0
AA0x2a7,0
AA0x2a8,0
AA0x2aa,0
AA0x2ad,0
AA0x2af,0
AA0x2b1,0
AA0x2b2,0
AA0x2b4,0
AA0x2b5,0
AA0x2b6,0
AA0x2b7,0
AA0x2bb,0
AA0x2bc,0
AA0x2bd,0
AA0x2bf,0
AA0x2c0,0
AA0x2c3,0
AA0x2c4,0
AA0x2c7,0
AA0x2c9,0
AA0x2ca,0
AA0x2cb,0
AA0x2cc,0
AA0x2ce,0
AA0x2cf,0
AA0x2d1,0
AA0x2d3,0
AA0x2d4,0
AA0x2d7,0
AA0x2dd,0
AA0x2de,0
AA0x2e1,0
AA0x2e2,0
AA0x2ed,0
AA0x2f2,0
AA0x2f3,0
AA0x2f6,0
AA0x2f7,0
AA0x2f9,0
AA0x2fb,0
AA0x2fe,0
AA0x301,0
AA0x302,0
AA0x307,0
AA0x309,0
AA0x30a,0
AA0x30b,0
AA0x30d,0
AA0x30e,0
AA0x311,0
AA0x315,0
AA0x316,0
AA0x317,0
AA0x318,0
AA0x319,0
AA0x31c,0
AA0x31e,0
AA0x31f,0
AA0x320,0
AA0x323,0
AA0x326,0
AA0x327,0
AA0x32c,0
AA0x32e,0
AA0x32f,0
AA0x330,0
AA0x335,0
AA0x338,0
AA0x342,0
AA0x343,0
AA0x346,0
AA0x349,0
AA0x34c,0
AA0x34f,0
AA0x352,0
AA0x354,0
AA0x355,0
AA0x357,0
AA0x359,0
AA0x35b,0
AA0x35c,0
AA0x35e,0
AA0x360,0
AA0x361,0
AA0x362,0
AA0x365,0
AA0x366,0
AA0x367,0
AA0x368,0
AA0x369,0
AA0x36a,0
AA0x36c,0
AA0x36e,0
AA0x371,0
AA0x372,0
AA0x373,0
AA0x376,0
AA0x377,0
AA0x378,0
AA0x379,0
AA0x37c,0
AA0x37e,0
AA0x383,0
AA0x385,0
AA0x386,0
AA0x387,0
AA0x389,0
AA0x38b,0
AA0x393,0
AA0x39a,0
AA0x39b,0
AA0x39c,0
AA0x39d,0
AA0x39e,0
AA0x39f,0
AA0x3a0,0
AA0x3a1,0
AA0x3a3,0
